P17_001,P17_002,P17_003,P17_004,lon,lat
江戸川消防署,"13123","2",江戸川区中央2-9-13,139.8724230000,35.7060150000
江戸川消防署小松川出張所,"13123","3",江戸川区平井1-8-8,139.8481200000,35.7025970000
江戸川消防署瑞江出張所,"13123","3",江戸川区西瑞江3-26,139.8900890000,35.6852690000
小岩消防署,"13123","2",江戸川区鹿骨2-42-11,139.8948930000,35.7086560000
小岩消防署篠崎出張所,"13123","3",江戸川区南篠崎町5-13-1,139.9091150000,35.6936300000
小岩消防署南小岩出張所,"13123","3",江戸川区南小岩5-13-13,139.8818930000,35.7237630000
小岩消防署北小岩出張所,"13123","3",江戸川区北小岩3-1-20,139.8899200000,35.7374560000
八王子消防署,"13201","2",八王子市大横町1-4,139.3292210000,35.6612290000
八王子消防署元八王子出張所,"13201","3",八王子市大楽寺町366-1,139.2942510000,35.6739210000
八王子消防署小宮出張所,"13201","3",八王子市石川町2099-2,139.3577740000,35.6685620000
八王子消防署浅川出張所,"13201","3",八王子市東浅川町882-2,139.2861420000,35.6412580000
八王子消防署富士森出張所,"13201","3",八王子市台町1-25-5,139.3243050000,35.6498410000
八王子消防署北野出張所,"13201","3",八王子市北野町575-1,139.3519970000,35.6503420000
八王子消防署由木分署,"13201","3",八王子市下柚木542-8,139.3800790000,35.6272620000
立川消防署,"13202","2",立川市泉町1156-1,139.4062400000,35.7153910000
立川消防署錦町出張所,"13202","3",立川市錦町3-6-18,139.4174070000,35.6928940000
立川消防署砂川出張所,"13202","3",立川市砂川町3-43-4,139.3997130000,35.7292780000
武蔵野消防署,"13203","2",武蔵野市吉祥寺北町4-6-1,139.5673100000,35.7115900000
武蔵野消防署吉祥寺出張所,"13203","3",武蔵野市吉祥寺東町1-1-21,139.5801980000,35.7070910000
武蔵野消防署境出張所,"13203","3",武蔵野市境2-4-21,139.5437010000,35.7062010000
三鷹消防署,"13204","2",三鷹市新川6-28-14,139.5660330000,35.6829260000
三鷹消防署下連雀出張所,"13204","3",三鷹市下連雀4-15-28,139.5613670000,35.6950920000
三鷹消防署大沢出張所,"13204","3",三鷹市大沢3-9-17,139.5384800000,35.6838150000
三鷹消防署牟礼出張所,"13204","3",三鷹市牟礼2-6-17,139.5836700000,35.6884540000
青梅消防署,"13205","2",青梅市師岡町3-2-5,139.2834700000,35.7889900000
青梅消防署長淵出張所,"13205","3",青梅市長淵3-203-3,139.2748880000,35.7777410000
青梅消防署日向和田出張所,"13205","3",青梅市日向和田2-309-1,139.2361150000,35.7851130000
府中消防署,"13206","2",府中市寿町1-5,139.4781240000,35.6738980000
府中消防署栄町出張所,"13206","3",府中市栄町3-1-4,139.4753740000,35.6862850000
府中消防署是政出張所,"13206","3",府中市是政2-12-5,139.4935960000,35.6607330000
府中消防署白糸台出張所,"13206","3",府中市白糸台1-42,139.5053170000,35.6705370000
府中消防署分梅出張所,"13206","3",府中市分梅町5-9-7,139.4622650000,35.6623980000
昭島消防署,"13207","2",昭島市松原町1-14-1,139.3540230000,35.7142230000
昭島消防署昭和出張所,"13207","3",昭島市玉川町3-1-2,139.3841870000,35.7040860000
昭島消防署大神出張所,"13207","3",昭島市つつじが丘3-2-2,139.3709500000,35.7132780000
調布消防署,"13208","2",調布市下石原1-16-1,139.5393700000,35.6562070000
調布消防署つつじヶ丘出張所,"13208","3",調布市西つつじヶ丘3-8-3,139.5698120000,35.6574020000
調布消防署国領出張所,"13208","3",調布市国領町7-50-8,139.5620350000,35.6455140000
調布消防署深大寺出張所,"13208","3",調布市深大寺東町5-25-11,139.5548120000,35.6743710000
町田消防署,"13209","2",町田市中町3-2-19,139.4492140000,35.5493550000
町田消防署成瀬出張所,"13209","3",町田市成瀬2106-6,139.4697960000,35.5430240000
町田消防署西町田出張所,"13209","3",町田市相原町45-3,139.3436110000,35.6049860000
